dataset,model,data_split,accuracy,precision,sensitivity,specificity,mcc,auc,f1_score
AnOxPePred,AOPP,0,0.743772241992883,0.709401709401709,0.685950413223141,0.7875,0.475567668625952,0.802479338842975,0.697478991596639
AnOxPePred,AOPP,1,0.725978647686833,0.76984126984127,0.668965517241379,0.786764705882353,0.45794167123735,0.780730223123732,0.715867158671587
AnOxPePred,AOPP,2,0.693950177935943,0.72108843537415,0.701986754966887,0.684615384615385,0.385934262819835,0.796535914416709,0.711409395973154
AnOxPePred,AOPP,3,0.725978647686833,0.671532846715328,0.741935483870968,0.713375796178344,0.452301001079714,0.804910622560099,0.704980842911877
AnOxPePred,AOPP,4,0.767857142857143,0.708333333333333,0.881481481481482,0.662068965517241,0.554404938741051,0.820076628352491,0.785478547854785
AnOxPP,AOPP,0,0.929245283018868,0.948453608247423,0.901960784313726,0.954545454545455,0.858998038038131,0.982397504456328,0.92462311557789
AnOxPP,AOPP,1,0.957547169811321,0.99009900990099,0.925925925925926,0.990384615384615,0.917168338059963,0.991252670940171,0.956937799043062
AnOxPP,AOPP,2,0.945754716981132,0.980952380952381,0.915555555555556,0.979899497487437,0.89380968197388,0.990820770519263,0.947126436781609
AnOxPP,AOPP,3,0.94811320754717,0.974619289340102,0.91866028708134,0.976744186046512,0.897564342325754,0.991899410259263,0.945812807881773
AnOxPP,AOPP,4,0.924528301886793,0.895454545454546,0.956310679611651,0.894495412844037,0.851071454043319,0.980070366081767,0.924882629107981
AOPP,AOPP,0,0.912396694214876,0.970037453183521,0.851973684210526,0.973421926910299,0.831128575043811,0.960843241825494,0.907180385288967
AOPP,AOPP,1,0.904132231404959,0.891803278688525,0.915824915824916,0.892857142857143,0.808575995063178,0.94835803926713,0.903654485049834
AOPP,AOPP,2,0.908940397350993,0.951219512195122,0.869426751592357,0.951724137931035,0.821516349817538,0.951295848890841,0.908485856905158
AOPP,AOPP,3,0.913907284768212,0.959839357429719,0.850533807829182,0.969040247678019,0.830479225345227,0.944746207154898,0.90188679245283
AOPP,AOPP,4,0.875827814569536,0.937956204379562,0.815873015873016,0.941176470588235,0.75961969457074,0.925885648376998,0.872665534804754
external,AOPP,0,0.584905660377359,1,0.584905660377359,0,0,0,0.738095238095238
